Statistic Label,Year,Household Disposable Income Quintiles,Expenditure,UNIT,VALUE
Average weekly household expenditure,2023,2nd quintile,Garden furniture and accessories (07.06),Euro,1.56
Average weekly household expenditure,2023,2nd quintile,"Computers (including laptops, tablets, game consoles) and accessories (07.07)",Euro,2.48
Average weekly household expenditure,2023,2nd quintile,Televisions and other media players (07.08),Euro,0.83
Average weekly household expenditure,2023,2nd quintile,Fancy and decorative goods (e.g. mirrors) (07.09),Euro,2.35
Average weekly household expenditure,2023,2nd quintile,Other household durable items (07.10),Euro,3.69
Average weekly household expenditure,2023,2nd quintile,Total transport (08),Euro,103.12
Average weekly household expenditure,2023,2nd quintile,Vehicles (net of trade in) (08.01),Euro,28.66
Average weekly household expenditure,2023,2nd quintile,Motor Fuel (08.02),Euro,31.32
Average weekly household expenditure,2023,2nd quintile,"Insurance, tax and fines (08.03)",Euro,22.68
Average weekly household expenditure,2023,2nd quintile,Vehicle maintenance and other costs (08.04),Euro,8.97
Average weekly household expenditure,2023,2nd quintile,"Bus, Luas, rail and taxi (08.05)",Euro,4.41
Average weekly household expenditure,2023,2nd quintile,Other transport expenditure (08.06),Euro,7.08
Average weekly household expenditure,2023,2nd quintile,"Total miscellaneous goods, services and other expenditure (09)",Euro,177.46
Average weekly household expenditure,2023,2nd quintile,Medical expenses/services and therapeutic equipment (09.01),Euro,15.49
Average weekly household expenditure,2023,2nd quintile,"Telephone, mobile and car phone (09.02)",Euro,13.89
Average weekly household expenditure,2023,2nd quintile,"Internet, telephone and television subscriptions (09.03)",Euro,19.89
Average weekly household expenditure,2023,2nd quintile,Internet subscription fees (not bundled) (09.03.01),Euro,3.27
Average weekly household expenditure,2023,2nd quintile,TV licences (09.03.02),Euro,1.47
Average weekly household expenditure,2023,2nd quintile,Satellite and cable TV subscription (09.03.03),Euro,2.51
Average weekly household expenditure,2023,2nd quintile,Bundled subscription fees (09.03.04),Euro,10.05
Average weekly household expenditure,2023,2nd quintile,"Downloads, streaming, apps and other internet services n.e.c (09.03.05)",Euro,2.58
Average weekly household expenditure,2023,2nd quintile,Admission and subscription charges - sports and leisure (09.04),Euro,10.87
Average weekly household expenditure,2023,2nd quintile,Betting and lotteries (09.05),Euro,2.18
Average weekly household expenditure,2023,2nd quintile,Reading materials (09.06),Euro,5.81
Average weekly household expenditure,2023,2nd quintile,Education and training (09.07),Euro,6.57
Average weekly household expenditure,2023,2nd quintile,Games and items for sports and open-air recreation (09.08),Euro,2.18
Average weekly household expenditure,2023,2nd quintile,Holiday expenditure (09.09),Euro,23.71
Average weekly household expenditure,2023,2nd quintile,Insurance/pension premiums (09.10),Euro,31.65
Average weekly household expenditure,2023,2nd quintile,Medical/dental insurance (09.10.01),Euro,19.75
Average weekly household expenditure,2023,2nd quintile,Other insurance premiums (09.10.02),Euro,5.31
Average weekly household expenditure,2023,2nd quintile,Pension contributions (09.10.03),Euro,6.59
Average weekly household expenditure,2023,2nd quintile,Pet costs (09.11),Euro,7.5
Average weekly household expenditure,2023,2nd quintile,Legal/Professional/Banking fees (09.12),Euro,3.26
Average weekly household expenditure,2023,2nd quintile,"Plants, flowers, seeds, fertilisers and insecticides (09.13)",Euro,2.93
Average weekly household expenditure,2023,2nd quintile,Hairdressing and personal grooming (09.14),Euro,4.01
Average weekly household expenditure,2023,2nd quintile,Personal goods (09.15),Euro,1.86
Average weekly household expenditure,2023,2nd quintile,Baby equipment (09.16),Euro,0.55
Average weekly household expenditure,2023,2nd quintile,Childcare (09.17),Euro,1.36
Average weekly household expenditure,2023,2nd quintile,"Other care, domestic and household services (09.18)",Euro,2.42
Average weekly household expenditure,2023,2nd quintile,Charitable donations and subscriptions (09.19),Euro,2.1
Average weekly household expenditure,2023,2nd quintile,Other money given to other persons (09.20),Euro,15.04
Average weekly household expenditure,2023,2nd quintile,Other Miscellaneous (09.21),Euro,4.2
Average weekly household expenditure,2023,3rd quintile,Total average weekly household expenditure (00.00.00.00),Euro,899.76
Average weekly household expenditure,2023,3rd quintile,Total food (01),Euro,159.95
Average weekly household expenditure,2023,3rd quintile,Total food consumed at home (01.01),Euro,133.45
Average weekly household expenditure,2023,3rd quintile,Bread (including retail sandwiches) (01.01.01),Euro,6.56
Average weekly household expenditure,2023,3rd quintile,Flour (01.01.02),Euro,0.32
Average weekly household expenditure,2023,3rd quintile,Pastries and biscuits (01.01.03),Euro,9.28
Average weekly household expenditure,2023,3rd quintile,Breakfast cereals (01.01.04),Euro,1.89
Average weekly household expenditure,2023,3rd quintile,"Milk, cream yoghurts and cheese (01.01.05)",Euro,13.08
Average weekly household expenditure,2023,3rd quintile,"Butter, fats and cooking oil (01.01.06)",Euro,2.69
Average weekly household expenditure,2023,3rd quintile,Eggs (01.01.07),Euro,2
Average weekly household expenditure,2023,3rd quintile,"Pasta, pizza, quiche and grains (01.01.08)",Euro,3.28
Average weekly household expenditure,2023,3rd quintile,Total meat (01.01.09),Euro,27.02
Average weekly household expenditure,2023,3rd quintile,Uncooked meat (01.01.09.01),Euro,18.05
Average weekly household expenditure,2023,3rd quintile,Cooked meat and convenience meat products (01.01.09.02),Euro,8.97
Average weekly household expenditure,2023,3rd quintile,Fish and fish products (01.01.10),Euro,3.48
Average weekly household expenditure,2023,3rd quintile,Fruit and nuts (01.01.11),Euro,9.27
Average weekly household expenditure,2023,3rd quintile,Fresh fruit (01.01.11.01),Euro,7.36
Average weekly household expenditure,2023,3rd quintile,Other fruit and nuts (01.01.11.02),Euro,1.92
Average weekly household expenditure,2023,3rd quintile,Vegetables (01.01.12),Euro,11.97
Average weekly household expenditure,2023,3rd quintile,Fresh vegetables (01.01.12.01),Euro,8.17
Average weekly household expenditure,2023,3rd quintile,Other vegetables and vegetable products (01.01.12.02),Euro,3.79
Average weekly household expenditure,2023,3rd quintile,"Sugars, confectionary and snacks (01.01.13)",Euro,13.55
Average weekly household expenditure,2023,3rd quintile,Other food items (01.01.14),Euro,7.87
Average weekly household expenditure,2023,3rd quintile,Non-alcoholic beverages (01.01.15),Euro,11.02
Average weekly household expenditure,2023,3rd quintile,"Tea, coffee and cocoa (01.01.15.01)",Euro,2.49
Average weekly household expenditure,2023,3rd quintile,Water - still/sparkling/flavoured (01.01.15.02),Euro,2.02
Average weekly household expenditure,2023,3rd quintile,"Soft drinks, including juices (01.01.15.03)",Euro,6.51
Average weekly household expenditure,2023,3rd quintile,Takeaway food brought/delivered to home (01.01.16),Euro,10.18
Average weekly household expenditure,2023,3rd quintile,Meals away from home (including takeout tea/coffee) (01.02),Euro,26.5
